bird instrument cat transport fruit veg name
0 0 0 0 0 0 fountain
0 0 0 0 0 0 fox
0 0 0 0 0 0 frog
0 0 0 0 1 0 fruit
0 0 0 0 0 0 furniture
0 0 0 0 0 0 giraffe
0 0 0 0 0 0 girl
0 0 0 0 0 0 glasses
0 0 0 0 0 0 glove
0 0 0 0 0 0 goat
0 0 0 0 0 0 goggles
0 0 0 0 0 0 goldfish
0 0 0 0 0 0 gondola
1 0 0 0 0 0 goose
0 0 0 0 1 0 grape
0 0 0 0 1 0 grapefruit
0 0 0 0 0 0 grinder
0 0 0 0 0 0 guacamole
0 0 0 0 0 0 guitar
0 0 0 0 0 0 hamburger
0 0 0 0 0 0 hammer
0 0 0 0 0 0 hamster
0 0 0 0 0 0 handbag
0 0 0 0 0 0 handgun
0 1 0 0 0 0 harmonica
0 1 0 0 0 0 harp
0 1 0 0 0 0 harpsichord
0 0 0 0 0 0 hat
0 0 0 0 0 0 headphones
0 0 0 0 0 0 heater
0 0 0 0 0 0 hedgehog
0 0 0 0 0 0 helicopter
0 0 0 0 0 0 helmet
0 0 0 0 0 0 hippopotamus
0 0 0 0 0 0 honeycomb
0 0 0 0 0 0 horn
0 0 0 0 0 0 horse
0 0 0 0 0 0 house
0 0 0 0 0 0 houseplant
0 0 0 0 0 0 humidifier
0 0 0 0 0 0 insect
0 0 0 0 0 0 invertebrate
0 0 0 0 0 0 ipod
0 0 0 0 0 0 isopod
0 0 0 0 0 0 jacket
0 0 0 0 0 0 jacuzzi
0 0 1 0 0 0 jaguar
0 0 0 0 0 0 jeans
0 0 0 0 0 0 jellyfish
0 0 0 0 0 0 jug
0 0 0 0 0 0 juice
0 0 0 0 0 0 kangaroo
0 0 0 0 0 0 kettle
0 0 0 0 0 0 kitchenware
0 0 0 0 0 0 kite
0 0 0 0 0 0 knife
0 0 0 0 0 0 koala
0 0 0 0 0 0 ladder
0 0 0 0 0 0 ladle
0 0 0 0 0 0 ladybug
0 0 0 0 0 0 lamp
0 0 0 0 0 0 lantern
0 0 0 0 0 0 laptop
0 0 0 0 0 0 lavender
0 0 0 0 1 0 lemon
0 0 1 0 0 0 leopard
0 0 0 0 0 0 lifejacket
0 0 0 0 0 0 lighthouse
0 0 0 0 0 0 lily
0 0 0 1 0 0 limousine
0 0 1 0 0 0 lion
0 0 0 0 0 0 lipstick
0 0 0 0 0 0 lizard
0 0 0 0 0 0 lobster
0 0 0 0 0 0 loveseat
0 0 1 0 0 0 lynx
1 0 0 0 0 0 magpie
0 0 0 0 0 0 mammal
0 0 0 0 0 0 man
0 0 0 0 1 0 mango
0 0 0 0 0 0 maple
0 1 0 0 0 0 maracas
0 0 0 0 0 0 microphone
0 0 0 0 0 0 milk
0 0 0 0 0 0 miniskirt
0 0 0 0 0 0 mirror
0 0 0 0 0 0 missile
0 0 0 0 0 0 mixer
0 0 0 0 0 0 monkey
0 0 0 1 0 0 motorcycle
0 0 0 0 0 0 mouse
0 0 0 0 0 0 muffin
0 0 0 0 0 0 mug
0 0 0 0 0 0 mule
0 0 0 0 0 0 mushroom
0 0 0 0 0 0 nail
0 0 0 0 0 0 necklace
0 0 0 0 0 0 nightstand
0 1 0 0 0 0 oboe
0 0 0 0 1 0 orange
0 0 0 0 0 0 organ
1 0 0 0 0 0 ostrich
0 0 0 0 0 0 otter
0 0 0 0 0 0 oven
1 0 0 0 0 0 owl
0 0 0 0 0 0 oyster
0 0 0 0 0 0 paddle
0 0 0 0 0 0 pancake
0 0 0 0 0 0 panda
0 0 0 0 0 0 parachute
1 0 0 0 0 0 parrot
0 0 0 0 0 0 pasta
0 0 0 0 0 0 pastry
0 0 0 0 1 0 peach
0 0 0 0 1 0 pear
0 0 0 0 0 0 pen
1 0 0 0 0 0 penguin
0 0 0 0 0 0 perfume
0 0 0 0 0 0 person
0 1 0 0 0 0 piano
0 0 0 0 0 0 pig
0 0 0 0 0 0 pillow
0 0 0 0 1 0 pineapple
0 0 0 0 0 0 pitcher
0 0 0 0 0 0 pizza
0 0 0 0 0 0 plant
0 0 0 0 0 0 plate
0 0 0 0 0 0 platter
0 0 0 0 1 0 pomegranate
0 0 0 0 0 0 popcorn
0 0 0 0 0 0 porch
0 0 0 0 0 0 porcupine
0 0 0 0 0 0 poster
0 0 0 0 0 1 potato
0 0 0 0 0 0 pretzel
0 0 0 0 0 0 printer
0 0 0 0 0 1 pumpkin
0 0 0 0 0 0 rabbit
0 0 0 0 0 0 raccoon
0 0 0 0 0 0 racket
0 0 0 0 0 0 radish
0 0 0 0 0 0 ratchet
1 0 0 0 0 0 raven
0 0 0 0 0 0 refrigerator
0 0 0 0 0 0 reptile
0 0 0 0 0 0 rhinoceros
0 0 0 0 0 0 rifle
0 0 0 0 0 0 rocket
0 0 0 0 0 0 rose
0 0 0 0 0 0 ruler
0 0 0 0 0 0 salad
0 0 0 0 0 0 sandal
0 0 0 0 0 0 sandwich
0 0 0 0 0 0 saucer
0 1 0 0 0 0 saxophone
0 0 0 0 0 0 scale
0 0 0 0 0 0 scarf
0 0 0 0 0 0 scissors
0 0 0 0 0 0 scoreboard
0 0 0 0 0 0 scorpion
0 0 0 0 0 0 screwdriver
0 0 0 0 0 0 sculpture
0 0 0 0 0 0 seafood
0 0 0 0 0 0 seahorse
0 0 0 0 0 0 segway
0 0 0 0 0 0 shark
0 0 0 0 0 0 sheep
0 0 0 0 0 0 shelf
0 0 0 0 0 0 shellfish
0 0 0 0 0 0 shirt
0 0 0 0 0 0 shorts
0 0 0 0 0 0 shotgun
0 0 0 0 0 0 shower
0 0 0 0 0 0 shrimp
0 0 0 0 0 0 sink
0 0 0 0 0 0 skateboard
0 0 0 0 0 0 ski
0 0 0 0 0 0 skirt
0 0 0 0 0 0 skull
0 0 0 0 0 0 skunk
0 0 0 0 0 0 skyscraper
0 0 0 0 0 0 snack
0 0 0 0 0 0 snail
0 0 0 0 0 0 snake
0 0 0 0 0 0 snowboard
0 0 0 0 0 0 snowman
0 0 0 0 0 0 snowmobile
0 0 0 1 0 0 snowplow
0 0 0 0 0 0 sock
0 0 0 0 0 0 sombrero
1 0 0 0 0 0 sparrow
0 0 0 0 0 0 spatula
0 0 0 0 0 0 spider
0 0 0 0 0 0 spoon
0 0 0 0 0 1 squash
0 0 0 0 0 0 squid
0 0 0 0 0 0 squirrel
0 0 0 0 0 0 stairs
0 0 0 0 0 0 stapler
0 0 0 0 0 0 starfish
0 0 0 0 0 0 stethoscope
0 0 0 0 0 0 stool
0 0 0 0 1 0 strawberry
0 0 0 0 0 0 stretcher
0 0 0 0 0 0 submarine
0 0 0 0 0 0 suit
0 0 0 0 0 0 suitcase
0 0 0 0 0 0 sunflower
0 0 0 0 0 0 sunglasses
0 0 0 0 0 0 surfboard
0 0 0 0 0 0 sushi
1 0 0 0 0 0 swan
0 0 0 0 0 0 swimwear
0 0 0 0 0 0 sword
0 0 0 0 0 0 syringe
0 0 0 0 0 0 table
0 0 0 0 0 0 tableware
0 0 0 0 0 0 taco
0 0 0 0 0 0 tank
0 0 0 0 0 0 tap
0 0 0 0 0 0 tart
0 0 0 0 0 0 taxi
0 0 0 0 0 0 tea
0 0 0 0 0 0 teapot
0 0 0 0 0 0 telephone
0 0 0 0 0 0 television
0 0 0 0 0 0 tent
0 0 0 0 0 0 tiara
0 0 0 0 0 0 tick
0 0 0 0 0 0 tie
0 0 1 0 0 0 tiger
0 0 0 0 0 0 tire
0 0 0 0 0 0 toaster
0 0 0 0 0 0 toilet
0 0 0 0 1 0 tomato
0 0 0 0 0 0 tool
0 0 0 0 0 0 toothbrush
0 0 0 0 0 0 torch
0 0 0 0 0 0 tortoise
0 0 0 0 0 0 towel
0 0 0 0 0 0 tower
0 0 0 0 0 0 toy
0 0 0 0 0 0 train
0 0 0 0 0 0 treadmill
0 0 0 0 0 0 tree
0 0 0 0 0 0 tripod
0 1 0 0 0 0 trombone
0 0 0 0 0 0 trousers
0 0 0 1 0 0 truck
0 1 0 0 0 0 trumpet
1 0 0 0 0 0 turkey
0 0 0 0 0 0 turtle
0 0 0 0 0 0 umbrella
0 0 0 0 0 0 unicycle
0 0 0 1 0 0 van
0 0 0 0 0 0 vase
0 0 0 0 0 1 vegetable
0 0 0 1 0 0 vehicle
0 1 0 0 0 0 violin
0 0 0 0 0 0 volleyball
0 0 0 0 0 0 waffle
0 0 0 0 0 0 wardrobe
0 0 0 0 0 0 watch
0 0 0 0 0 0 watercraft
0 0 0 0 1 0 watermelon
0 0 0 0 0 0 weapon
0 0 0 0 0 0 whale
0 0 0 0 0 0 wheel
0 0 0 0 0 0 wheelchair
0 0 0 0 0 0 whisk
0 0 0 0 0 0 whiteboard
0 0 0 0 0 0 willow
0 0 0 0 0 0 window
0 0 0 0 0 0 wine
0 0 0 0 0 0 wok
0 0 0 0 0 0 woman
1 0 0 0 0 0 woodpecker
0 0 0 0 0 0 worm
0 0 0 0 0 0 wrench
0 0 0 0 0 0 zebra
0 0 0 0 0 1 zucchini
